ID,Dashboard Slug,Dashboard Include,Priority,Recommendation Tier,Weighted Polo Score,Corridor,Corridor Fit,Address / Property,City,County,State,Acres,List Price,Price / Acre,Status,Source,Listing Link Label,Source URL,Geocode Query,Geo Status,Research Confidence,Listing Notes,Polo / Investor Notes,Investor Narrative,Est. Drive Min to Charlotte,Est. Min to I-77,Location Score,Acreage Score,Field / Terrain Signal,Price Efficiency Score,Expansion / Assemblage Score,Zoning / Entitlement Risk Score,Access / Frontage Score,Next Due Diligence,Last Researched,Property Name,Property URL,Map URL,Latitude,Longitude,Drive Time From Charlotte,Miles From Charlotte
VP006,richburg-old-catholic-church-rd,TRUE,Primary,Tier 1 - Investor Shortlist,85.1,I-77 South,Primary,Old Catholic Church Rd,Richburg,Chester County,SC,100,550000,5500,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/old-catholic-church-rd-richburg-sc-29729/5043157,"Old Catholic Church Rd, Richburg, SC",Listing coordinates available / confirm in GIS,High,100 acres at low price/acre; recreational tract; check clearing/topography.,Excellent land-bank value near Richburg/I-77; could become a strategic long-term acquisition.,100 acres near Richburg; I-77 South fit. Excellent land-bank value near Richburg/I-77; could become a strategic long-term acquisition.,47,8,9.7,10,6,10,10,6,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,Old Catholic Church Rd,https://www.landsearch.com/properties/old-catholic-church-rd-richburg-sc-29729/5043157,"https://www.google.com/maps/search/?api=1&query=34.704800,-81.031000",34.7048,-81.031,47,30.5
VP008,fort-lawn-hightower-road-tract,TRUE,Primary,Tier 1 - Investor Shortlist,83.7,I-77 South / Hwy 9,Primary,Hightower Road Tract,Fort Lawn,Chester County,SC,86.04,688900,8007,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/fort-lawn-sc/5095610,"Hightower Road Tract, Fort Lawn, SC",Listing coordinates available / confirm in GIS,High,"86 acres; listing notes 12 minutes to I-77, 50 minutes to Charlotte; utilities near property.","Highly interesting because it has scale, corridor access, timber/recreation value, and potential utility upside.","86.04 acres near Fort Lawn; I-77 South / Hwy 9 fit. Highly interesting because it has scale, corridor access, timber/recreation value, and potential utility upside.",50,12,8.8,10,6,10,9,5,8,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,Hightower Road Tract,https://www.landsearch.com/properties/fort-lawn-sc/5095610,"https://www.google.com/maps/search/?api=1&query=34.696900,-80.906800",34.6969,-80.9068,50,32.8
VP021,statesville-334-myers-mill-rd,TRUE,Primary,Tier 2 - Serious Diligence,81.3,I-77 North / Statesville,Secondary,334 Myers Mill Rd,Statesville,Iredell County,NC,306.82,5500000,17926,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/334-myers-mill-rd-statesville-nc-28625/4912025,"334 Myers Mill Rd, Statesville, NC",Listing coordinates available / confirm in GIS,High,306.82-acre rural/agricultural/recreational property.,Major acreage north of Charlotte; strong regional club/country-estate thesis if drive time is acceptable.,306.82 acres near Statesville; I-77 North / Statesville fit. Major acreage north of Charlotte; strong regional club/country-estate thesis if drive time is acceptable.,55,12,7.9,10,7,8,10,5,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,334 Myers Mill Rd,https://www.landsearch.com/properties/334-myers-mill-rd-statesville-nc-28625/4912025,"https://www.google.com/maps/search/?api=1&query=35.782600,-80.899300",35.7826,-80.8993,55,36.7
VP001,rock-hill-3805-e-highway-324,TRUE,Primary,Tier 2 - Serious Diligence,81.3,I-77 South,Primary,3805- E Highway 324,Rock Hill,York County,SC,50,1100000,22000,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/3805-e-highway-324-rock-hill-sc-29732/4693533,"3805- E Highway 324, Rock Hill, SC",Listing coordinates available / confirm in GIS,High,"Pasture, fencing, ponds, AGC zoning; explicitly served as cow/horse grazing.","One of the cleanest polo/equestrian fits: 50 acres, pasture, water features, and York County corridor access.","50 acres near Rock Hill; I-77 South fit. One of the cleanest polo/equestrian fits: 50 acres, pasture, water features, and York County corridor access.",38,12,8.4,8.2,9,8,8,4,8,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,3805- E Highway 324,https://www.landsearch.com/properties/3805-e-highway-324-rock-hill-sc-29732/4693533,"https://www.google.com/maps/search/?api=1&query=34.930900,-81.037100",34.9309,-81.0371,38,23.4
VP018,edgemoor-westbrook-rd,TRUE,Primary,Tier 2 - Serious Diligence,79.3,I-77 South / Edgemoor,Primary,Westbrook Rd,Edgemoor,Chester County,SC,156,2250000,14423,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/westbrook-rd-edgemoor-sc-29712/3187032,"Westbrook Rd, Edgemoor, SC",Listing coordinates available / confirm in GIS,High,156-acre recreational tract; exact listing verified.,Scale is attractive and location is close; needs development feasibility and field-clearing analysis.,156 acres near Edgemoor; I-77 South / Edgemoor fit. Scale is attractive and location is close; needs development feasibility and field-clearing analysis.,38,14,8,10,6,9,10,6,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,Westbrook Rd,https://www.landsearch.com/properties/westbrook-rd-edgemoor-sc-29712/3187032,"https://www.google.com/maps/search/?api=1&query=34.806000,-81.002100",34.806,-81.0021,38,23.4
VP002,rock-hill-2548-gordon-rd,TRUE,Primary,Tier 2 - Serious Diligence,77.5,I-77 South,Primary,2548 Gordon Rd,Rock Hill,York County,SC,52.8,1250000,23674,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/2548-gordon-rd-rock-hill-sc-29732/5103644,"2548 Gordon Rd, Rock Hill, SC",Listing coordinates available / confirm in GIS,High,Large Rock Hill tract; exact listing verified. Needs parcel/terrain review.,"Strong I-77 South candidate with enough scale for fields, barns, parking, and investor optionality.","52.8 acres near Rock Hill; I-77 South fit. Strong I-77 South candidate with enough scale for fields, barns, parking, and investor optionality.",35,8,8.3,8.4,7,8,8,5,8,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,2548 Gordon Rd,https://www.landsearch.com/properties/2548-gordon-rd-rock-hill-sc-29732/5103644,"https://www.google.com/maps/search/?api=1&query=34.912900,-81.031100",34.9129,-81.0311,35,21.1
VP017,richburg-2852-gaston-farm-rd,TRUE,Primary,Tier 2 - Serious Diligence,76.6,I-77 South,Primary,2852 Gaston Farm Rd,Richburg,Chester County,SC,64.1,3783847,59030,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/2852-gaston-farm-rd-richburg-sc-29729/4441354,"2852 Gaston Farm Rd, Richburg, SC",Listing coordinates available / confirm in GIS,High,64.1-acre mixed-use Richburg tract; high price/acre.,Great corridor location but pricing suggests development/commercial value; may be too expensive for polo-only use.,64.1 acres near Richburg; I-77 South fit. Great corridor location but pricing suggests development/commercial value; may be too expensive for polo-only use.,42,5,9.5,9.3,6,4,8,5,9,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,2852 Gaston Farm Rd,https://www.landsearch.com/properties/2852-gaston-farm-rd-richburg-sc-29729/4441354,"https://www.google.com/maps/search/?api=1&query=34.710800,-81.025000",34.7108,-81.025,42,26.6
VP004,lancaster-1049-culp-ferguson-rd,TRUE,Secondary,Tier 2 - Serious Diligence,78.6,US-521 / I-77 South,Secondary,1049 Culp Ferguson Rd,Lancaster,Lancaster County,SC,84.671,2775000,32774,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/1049-culp-ferguson-rd-lancaster-sc-29720/4909817,"1049 Culp Ferguson Rd, Lancaster, SC",Listing coordinates available / confirm in GIS,High,"Open fields, fenced pasture, pond, RN zoning, horse-property tag.",Investor-grade acreage and equestrian narrative; higher price but fits club vision well.,84.671 acres near Lancaster; US-521 / I-77 South fit. Investor-grade acreage and equestrian narrative; higher price but fits club vision well.,52,22,6.4,10,9,6,9,5,8,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,1049 Culp Ferguson Rd,https://www.landsearch.com/properties/1049-culp-ferguson-rd-lancaster-sc-29720/4909817,"https://www.google.com/maps/search/?api=1&query=34.732400,-80.776900",34.7324,-80.7769,52,34.4
VP005,catawba-1904-canal-rd,TRUE,Secondary,Tier 2 - Serious Diligence,77.6,I-77 South / Catawba,Primary,1904 Canal Rd,Catawba,Chester County,SC,50,1500000,30000,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/1904-canal-rd-catawba-sc-29704/5145791,"1904 Canal Rd, Catawba, SC",Listing coordinates available / confirm in GIS,High,"50-acre estate; listing calls out equestrian potential, pastureland, stables, riding trails.",Premium turn-key estate angle; likely strong for an equestrian lifestyle investor pitch.,50 acres near Catawba; I-77 South / Catawba fit. Premium turn-key estate angle; likely strong for an equestrian lifestyle investor pitch.,42,16,8.3,8.2,9,6,8,4,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,1904 Canal Rd,https://www.landsearch.com/properties/1904-canal-rd-catawba-sc-29704/5145791,"https://www.google.com/maps/search/?api=1&query=34.840100,-80.911200",34.8401,-80.9112,42,26.6
VP007,richburg-main-st,TRUE,Secondary,Tier 2 - Serious Diligence,77.2,I-77 South,Primary,Main St,Richburg,Chester County,SC,38.687,489000,12640,Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/main-st-richburg-sc-29729/4768535,"Main St, Richburg, SC",Listing coordinates available / confirm in GIS,High,38.7-acre Richburg tract; just below 40-acre target.,Strong price and corridor fit; worth diligence as a compact club site or assemblage candidate.,38.687 acres near Richburg; I-77 South fit. Strong price and corridor fit; worth diligence as a compact club site or assemblage candidate.,45,5,10,7.2,6,9,7,5,8,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-04-28,Main St,https://www.landsearch.com/properties/main-st-richburg-sc-29729/4768535,"https://www.google.com/maps/search/?api=1&query=34.710800,-81.019000",34.7108,-81.019,45,28.9
